DATE,STLFSI2
1993-12-31,-0.3873
1994-01-07,-0.4970
1994-01-14,-0.2195
1994-01-21,-0.4719
1994-01-28,-0.3160
1994-02-04,-0.6874
1994-02-11,-0.4419
1994-02-18,-0.4308
1994-02-25,-0.3859
1994-03-04,-0.3165
1994-03-11,-0.3242
1994-03-18,-0.2345
1994-03-25,-0.2924
1994-04-01,-0.1632
1994-04-08,-0.1608
1994-04-15,-0.0768
1994-04-22,-0.2171
1994-04-29,-0.1587
1994-05-06,-0.4552
1994-05-13,-0.1289
1994-05-20,-0.0709
1994-05-27,-0.2496
1994-06-03,-0.0760
1994-06-10,0.0056
1994-06-17,-0.2319
1994-06-24,-0.1307
1994-07-01,-0.1103
1994-07-08,0.0210
1994-07-15,-0.1011
1994-07-22,-0.1049
1994-07-29,-0.2669
1994-08-05,-0.1759
1994-08-12,-0.3542
1994-08-19,-0.4254
1994-08-26,-0.3895
1994-09-02,-0.2565
1994-09-09,-0.3545
1994-09-16,-0.3471
1994-09-23,-0.4036
1994-09-30,-0.1721
1994-10-07,-0.1909
1994-10-14,0.0600
1994-10-21,-0.1484
1994-10-28,-0.1934
1994-11-04,-0.1770
1994-11-11,-0.2617
1994-11-18,-0.4567
1994-11-25,-0.1887
1994-12-02,-0.1918
1994-12-09,-0.1722
1994-12-16,-0.1601
1994-12-23,-0.0315
1994-12-30,0.1602
1995-01-06,-0.2023
1995-01-13,0.0290
1995-01-20,-0.3728
1995-01-27,-0.3623
1995-02-03,-0.4003
1995-02-10,-0.5007
1995-02-17,-0.2225
1995-02-24,-0.2579
1995-03-03,-0.2188
1995-03-10,-0.1161
1995-03-17,-0.2510
1995-03-24,-0.3845
1995-03-31,-0.4822
1995-04-07,-0.3356
1995-04-14,-0.2699
1995-04-21,-0.2200
1995-04-28,-0.4786
1995-05-05,-0.3101
1995-05-12,-0.2037
1995-05-19,-0.4337
1995-05-26,-0.3936
1995-06-02,-0.0839
1995-06-09,-0.2579
1995-06-16,-0.1437
1995-06-23,-0.1289
1995-06-30,-0.2630
1995-07-07,-0.2656
1995-07-14,-0.1614
1995-07-21,-0.5053
1995-07-28,-0.3227
1995-08-04,-0.2884
1995-08-11,-0.3092
1995-08-18,-0.4180
1995-08-25,-0.2367
1995-09-01,-0.1334
1995-09-08,-0.2486
1995-09-15,-0.3428
1995-09-22,-0.2718
